Latent Dim,Hidden Size,Learning Rate,Total Loss,Recon Loss,KL Divergence
20,128,0.001,106.58097265625,89.26607342529297,17.314899227905272
20,128,0.0005,109.49787612304688,92.26297966308594,17.234896795654297
10,128,0.001,110.65593510742187,95.87447097167968,14.781463815307617
20,64,0.001,111.10409283447265,95.28827349853516,15.815819226074218
10,64,0.001,113.75243442382812,99.55056365966797,14.201870889282226
10,128,0.0005,113.7695299194336,99.73688049316407,14.032649314880372
20,64,0.0005,117.72151815185546,103.64643155517578,14.075086325073242
10,64,0.0005,118.1857083984375,104.46050227050782,13.725206457519532
